extractor,classifier,accuracy,AUC
Orb,XGB1,0.3252788104089219,0.7353423410795477
Orb,XGB2,0.34386617100371747,0.7426714173183265
Orb,ADABOOST1,0.29182156133828996,0.7118931962165885
Orb,ADABOOST2,0.30855018587360594,0.7434815913070774
