,coast,forest,highway,insidecity,mountain,opencountry,street,tallbuilding
coast,166,6,24,5,9,12,3,11
forest,11,134,0,15,17,4,15,11
highway,56,4,38,9,2,16,13,5
insidecity,27,54,2,51,10,20,17,4
mountain,48,54,5,15,30,14,39,19
opencountry,76,23,13,15,9,42,28,17
street,2,51,0,14,17,7,77,4
tallbuilding,89,22,10,19,23,25,15,19
