,coast,forest,highway,insidecity,mountain,opencountry,street,tallbuilding
coast,207,9,3,0,2,9,0,6
forest,31,168,0,0,3,5,0,0
highway,54,0,32,0,2,9,44,2
insidecity,4,0,1,116,0,0,38,26
mountain,20,7,0,0,192,2,0,3
opencountry,51,113,6,0,17,30,0,6
street,1,0,0,12,0,0,157,2
tallbuilding,10,1,0,2,0,6,12,191
