,coast,forest,highway,insidecity,mountain,opencountry,street,tallbuilding
coast,195,3,16,0,6,14,1,1
forest,16,131,2,0,5,53,0,0
highway,8,1,120,0,3,2,5,4
insidecity,4,1,1,136,0,2,27,14
mountain,9,3,1,0,201,8,0,2
opencountry,25,30,18,0,20,129,0,1
street,0,0,7,17,1,0,142,5
tallbuilding,3,1,4,9,0,3,4,198
