,coast,forest,highway,insidecity,mountain,opencountry,street,tallbuilding
coast,198,6,10,0,5,16,0,1
forest,16,141,1,0,5,44,0,0
highway,8,2,120,0,0,2,7,4
insidecity,3,1,3,140,0,0,28,10
mountain,10,3,1,0,199,8,0,3
opencountry,19,31,12,0,14,146,0,1
street,0,0,7,14,0,0,150,1
tallbuilding,1,0,2,11,0,3,4,201
