Precision,Recall,Class
0.14640198511166252,1.0,coast
0.14649286157666047,1.0,coast
0.14658385093167703,1.0,coast
0.14667495338719702,1.0,coast
0.14676616915422885,1.0,coast
0.14685749844430615,1.0,coast
0.14694894146948942,1.0,coast
0.1470404984423676,1.0,coast
0.14713216957605985,1.0,coast
0.1472239550842171,1.0,coast
0.14731585518102372,1.0,coast
0.14740787008119924,1.0,coast
0.1475,1.0,coast
0.1476846057571965,1.0,coast
0.14786967418546365,1.0,coast
0.14796238244514107,1.0,coast
0.1480552070263488,1.0,coast
0.14814814814814814,1.0,coast
0.14824120603015076,1.0,coast
0.14833438089252043,1.0,coast
0.14842767295597484,1.0,coast
0.1486146095717884,1.0,coast
0.148708254568368,1.0,coast
0.14946168461051298,1.0,coast
0.14993646759847523,1.0,coast
0.15003178639542275,1.0,coast
0.15012722646310434,1.0,coast
0.15022278803309994,1.0,coast
0.1503184713375796,1.0,coast
0.1504142766093053,1.0,coast
0.15060625398851307,1.0,coast
0.15070242656449553,1.0,coast
0.15108834827144688,1.0,coast
0.15118513773222295,1.0,coast
0.15128205128205127,1.0,coast
0.15137908915971776,1.0,coast
0.15157353885677585,1.0,coast
0.15167095115681234,1.0,coast
0.1519639407598197,1.0,coast
0.1521598968407479,1.0,coast
0.15225806451612903,1.0,coast
0.15235635894125243,1.0,coast
0.15255332902391727,1.0,coast
0.15394651011089366,1.0,coast
0.15404699738903394,1.0,coast
0.15465268676277852,1.0,coast
0.15475409836065573,1.0,coast
0.15495732107682206,1.0,coast
0.15505913272010513,1.0,coast
0.15526315789473685,1.0,coast
0.1553653719552337,1.0,coast
0.155467720685112,1.0,coast
0.15557020435069216,1.0,coast
0.15567282321899736,1.0,coast
0.15577557755775578,1.0,coast
0.15598149372108394,1.0,coast
0.15608465608465608,1.0,coast
0.1562913907284768,1.0,coast
0.15649867374005305,1.0,coast
0.15660252156602522,1.0,coast
0.15691489361702127,1.0,coast
0.15712383488681758,1.0,coast
0.15722851432378415,1.0,coast
0.15733333333333333,1.0,coast
0.15743829219479652,1.0,coast
0.157543391188251,1.0,coast
0.15775401069518716,1.0,coast
0.15785953177257525,1.0,coast
0.1581769436997319,1.0,coast
0.15828303152246814,1.0,coast
0.1584956346541303,1.0,coast
0.15870880968392737,1.0,coast
0.15881561238223418,1.0,coast
0.15902964959568733,1.0,coast
0.15945945945945947,1.0,coast
0.15956727518593644,1.0,coast
0.15978334461746785,1.0,coast
0.15989159891598917,1.0,coast
0.16,1.0,coast
0.16021724372029872,1.0,coast
0.16153319644079397,1.0,coast
0.16164383561643836,1.0,coast
0.16175462645647704,1.0,coast
0.16186556927297668,1.0,coast
0.16197666437886069,1.0,coast
0.1620879120879121,1.0,coast
0.16219931271477664,1.0,coast
0.1623108665749656,1.0,coast
0.16275862068965516,1.0,coast
0.16287094547964112,1.0,coast
0.16298342541436464,1.0,coast
0.1630960608154803,1.0,coast
0.1632088520055325,1.0,coast
0.16332179930795848,1.0,coast
0.1634349030470914,1.0,coast
0.16354816354816354,1.0,coast
0.1636615811373093,1.0,coast
0.16377515614156835,1.0,coast
0.1638888888888889,1.0,coast
0.16400277970813065,1.0,coast
0.16411682892906815,1.0,coast
0.16468946266573622,1.0,coast
0.16573033707865167,1.0,coast
0.16584680252986647,1.0,coast
0.1660802251935257,1.0,coast
0.16631430584918958,1.0,coast
0.16643159379407615,1.0,coast
0.16654904728299225,1.0,coast
0.16666666666666666,1.0,coast
0.1667844522968198,1.0,coast
0.1670205237084218,1.0,coast
0.1671388101983003,1.0,coast
0.16725726435152374,1.0,coast
0.1673758865248227,1.0,coast
0.1678520625889047,1.0,coast
0.16809116809116809,1.0,coast
0.16869192280200143,1.0,coast
0.16917562724014337,1.0,coast
0.16929698708751795,1.0,coast
0.16941852117731515,1.0,coast
0.1703971119133574,1.0,coast
0.170767004341534,1.0,coast
0.17089065894279507,1.0,coast
0.17113850616388687,1.0,coast
0.17151162790697674,1.0,coast
0.17163636363636364,1.0,coast
0.1717612809315866,1.0,coast
0.17188638018936636,1.0,coast
0.17213712618526622,1.0,coast
0.17226277372262774,1.0,coast
0.17238860482103727,1.0,coast
0.17251461988304093,1.0,coast
0.17276720351390923,1.0,coast
0.1728937728937729,1.0,coast
0.17327459618208516,1.0,coast
0.1734019103600294,1.0,coast
0.17378497790868924,1.0,coast
0.17391304347826086,1.0,coast
0.17416974169741697,1.0,coast
0.17442719881744273,1.0,coast
0.17455621301775148,1.0,coast
0.17468541820873426,1.0,coast
0.17494440326167532,1.0,coast
0.17507418397626112,1.0,coast
0.17520415738678544,1.0,coast
0.17533432392273401,1.0,coast
0.1754646840148699,1.0,coast
0.17598806860551827,1.0,coast
0.1761194029850746,1.0,coast
0.17625093353248694,1.0,coast
0.17638266068759342,1.0,coast
0.17664670658682635,1.0,coast
0.17677902621722846,1.0,coast
0.17691154422788605,1.0,coast
0.17704426106526633,1.0,coast
0.17717717717717718,1.0,coast
0.17731029301277235,1.0,coast
0.1779788838612368,1.0,coast
0.1782477341389728,1.0,coast
0.1801526717557252,1.0,coast
0.18029029793735676,1.0,coast
0.180566182096404,1.0,coast
0.18591772151898733,0.9957627118644068,coast
0.1862123613312203,0.9957627118644068,coast
0.18680445151033387,0.9957627118644068,coast
0.1869530628480509,0.9957627118644068,coast
0.18725099601593626,0.9957627118644068,coast
0.18740031897926634,0.9957627118644068,coast
0.18754988028731046,0.9957627118644068,coast
0.18875502008032127,0.9957627118644068,coast
0.19121236777868186,0.9957627118644068,coast
0.19136807817589577,0.9957627118644068,coast
0.20223752151462995,0.9957627118644068,coast
0.20155038759689922,0.9915254237288136,coast
0.20172413793103447,0.9915254237288136,coast
0.20189818809318377,0.9915254237288136,coast
0.20207253886010362,0.9915254237288136,coast
0.2025974025974026,0.9915254237288136,coast
0.2027729636048527,0.9915254237288136,coast
0.20294882914137033,0.9915254237288136,coast
0.203125,0.9915254237288136,coast
0.2038327526132404,0.9915254237288136,coast
0.2040104620749782,0.9915254237288136,coast
0.20418848167539266,0.9915254237288136,coast
0.20580474934036938,0.9915254237288136,coast
0.20598591549295775,0.9915254237288136,coast
0.20634920634920634,0.9915254237288136,coast
0.20653133274492497,0.9915254237288136,coast
0.2067137809187279,0.9915254237288136,coast
0.20689655172413793,0.9915254237288136,coast
0.20818505338078291,0.9915254237288136,coast
0.20837043633125557,0.9915254237288136,coast
0.20855614973262032,0.9915254237288136,coast
0.20967741935483872,0.9915254237288136,coast
0.20986547085201793,0.9915254237288136,coast
0.21005385996409337,0.9915254237288136,coast
0.2115732368896926,0.9915254237288136,coast
0.21195652173913043,0.9915254237288136,coast
0.2154696132596685,0.9915254237288136,coast
0.21606648199445982,0.9915254237288136,coast
0.22054665409990576,0.9915254237288136,coast
0.22075471698113208,0.9915254237288136,coast
0.22117202268431002,0.9915254237288136,coast
0.2252165543792108,0.9915254237288136,coast
0.2254335260115607,0.9915254237288136,coast
0.2256509161041466,0.9915254237288136,coast
0.22586872586872586,0.9915254237288136,coast
0.22608695652173913,0.9915254237288136,coast
0.2263056092843327,0.9915254237288136,coast
0.22696411251212414,0.9915254237288136,coast
0.22740524781341107,0.9915254237288136,coast
0.22762645914396887,0.9915254237288136,coast
0.22807017543859648,0.9915254237288136,coast
0.22829268292682928,0.9915254237288136,coast
0.22941176470588234,0.9915254237288136,coast
0.22986247544204322,0.9915254237288136,coast
0.2316831683168317,0.9915254237288136,coast
0.2319127849355798,0.9915254237288136,coast
0.23517587939698492,0.9915254237288136,coast
0.23541247484909456,0.9915254237288136,coast
0.23564954682779457,0.9915254237288136,coast
0.2422360248447205,0.9915254237288136,coast
0.24324324324324326,0.9915254237288136,coast
0.2465753424657534,0.9915254237288136,coast
0.2470960929250264,0.9915254237288136,coast
0.24814422057264052,0.9915254237288136,coast
0.24867162592986186,0.9915254237288136,coast
0.24893617021276596,0.9915254237288136,coast
0.2510729613733906,0.9915254237288136,coast
0.2521551724137931,0.9915254237288136,coast
0.252972972972973,0.9915254237288136,coast
0.2532467532467532,0.9915254237288136,coast
0.2535211267605634,0.9915254237288136,coast
0.2565789473684211,0.9915254237288136,coast
0.25686059275521406,0.9915254237288136,coast
0.25742574257425743,0.9915254237288136,coast
0.2577092511013216,0.9915254237288136,coast
0.2588495575221239,0.9915254237288136,coast
0.2591362126245847,0.9915254237288136,coast
0.26057906458797325,0.9915254237288136,coast
0.2608695652173913,0.9915254237288136,coast
0.2611607142857143,0.9915254237288136,coast
0.26145251396648045,0.9915254237288136,coast
0.26174496644295303,0.9915254237288136,coast
0.2620380739081747,0.9915254237288136,coast
0.26292134831460673,0.9915254237288136,coast
0.26410835214446954,0.9915254237288136,coast
0.26440677966101694,0.9915254237288136,coast
0.2647058823529412,0.9915254237288136,coast
0.26590909090909093,0.9915254237288136,coast
0.26621160409556316,0.9915254237288136,coast
0.2702078521939954,0.9915254237288136,coast
0.2705202312138728,0.9915254237288136,coast
0.2708333333333333,0.9915254237288136,coast
0.2724097788125728,0.9915254237288136,coast
0.2727272727272727,0.9915254237288136,coast
0.27497062279670975,0.9915254237288136,coast
0.2752941176470588,0.9915254237288136,coast
0.2759433962264151,0.9915254237288136,coast
