False Positive Rate,True Positive Rate,Threshold
0.0,0.0,inf
0.0013293158454448777,0.033498759305210915,0.14009134
0.001772421127259837,0.038461538461538464,0.13763912
0.0021269053527118043,0.04590570719602978,0.13763191
0.003633463310882666,0.05086848635235732,0.1354855
0.0038107054236086496,0.052109181141439205,0.13514535
0.003987947536334633,0.05272952853598015,0.13514416
0.004253810705423609,0.062034739454094295,0.13513791
0.004253810705423609,0.06265508684863523,0.13484714
0.004431052818149593,0.06513647642679901,0.13484647
0.004874158099964551,0.0707196029776675,0.13484641
0.0050514002126905355,0.07444168734491315,0.13484638
0.005317263381779511,0.07754342431761786,0.1348455
0.006026231832683446,0.08126550868486353,0.13484178
0.006380716058135413,0.08250620347394541,0.13484164
0.00717830556540234,0.09181141439205956,0.13483626
0.007266926621765332,0.09181141439205956,0.13314491
0.007266926621765332,0.0924317617866005,0.13314374
0.007355547678128323,0.0924317617866005,0.13313758
0.007621410847217299,0.0924317617866005,0.13313446
0.0077100319035802905,0.09305210918114144,0.1331331
0.007887274016306274,0.09553349875930521,0.13311157
0.008241758241758242,0.0967741935483871,0.13311051
0.008507621410847217,0.10049627791563276,0.13310703
0.009216589861751152,0.1054590570719603,0.13310678
0.009393831974477136,0.10669975186104218,0.13310453
0.010280042538107055,0.11352357320099256,0.13310298
0.011786600496277916,0.11786600496277916,0.13304522
0.011875221552640907,0.11972704714640199,0.13295912
0.01240694789081886,0.11972704714640199,0.13294013
0.013293158454448777,0.12158808933002481,0.13282487
0.01338177951081177,0.12158808933002481,0.13282479
0.014002126905352711,0.1228287841191067,0.13282412
0.01444523218716767,0.12468982630272953,0.13282411
0.014711095356256646,0.12531017369727046,0.13282406
0.015774548032612547,0.12841191066997518,0.13282397
0.015863169088975542,0.13027295285359802,0.1328217
0.016394895427153493,0.1346153846153846,0.13282017
0.016660758596242466,0.1346153846153846,0.13282006
0.018433179723502304,0.14640198511166252,0.13281866
0.018964906061680255,0.14826302729528537,0.13281627
0.019851116625310174,0.1501240694789082,0.13281564
0.020382842963488124,0.1501240694789082,0.13281559
0.021180432470755052,0.15260545905707196,0.13281482
0.02162353775257001,0.15384615384615385,0.13280771
0.021712158808933003,0.15384615384615385,0.13271784
0.021800779865295994,0.15508684863523572,0.13271624
0.021889400921658985,0.15508684863523572,0.13271116
0.022775611485288904,0.15818858560794044,0.13267686
0.02339595887982985,0.1588089330024814,0.13267569
0.02357320099255583,0.1588089330024814,0.13266061
0.02357320099255583,0.15942928039702234,0.13266055
0.023750443105281814,0.1619106699751861,0.13266053
0.02401630627437079,0.16253101736972705,0.13265635
