Precision,Recall,Class
0.14640198511166252,1.0,coast
0.14649286157666047,1.0,coast
0.14658385093167703,1.0,coast
0.14667495338719702,1.0,coast
0.14676616915422885,1.0,coast
0.14685749844430615,1.0,coast
0.14694894146948942,1.0,coast
0.1470404984423676,1.0,coast
0.14713216957605985,1.0,coast
0.1472239550842171,1.0,coast
0.14731585518102372,1.0,coast
0.14740787008119924,1.0,coast
0.1475,1.0,coast
0.14759224515322075,1.0,coast
0.1476846057571965,1.0,coast
0.14777708202880402,1.0,coast
0.14786967418546365,1.0,coast
0.14796238244514107,1.0,coast
0.1480552070263488,1.0,coast
0.14814814814814814,1.0,coast
0.14824120603015076,1.0,coast
0.14833438089252043,1.0,coast
0.14842767295597484,1.0,coast
0.1485210824417873,1.0,coast
0.1486146095717884,1.0,coast
0.148708254568368,1.0,coast
0.14880201765447668,1.0,coast
0.14889589905362777,1.0,coast
0.14898989898989898,1.0,coast
0.1490840176879343,1.0,coast
0.14917825537294563,1.0,coast
0.14927261227071473,1.0,coast
0.14936708860759493,1.0,coast
0.14946168461051298,1.0,coast
0.14955640050697086,1.0,coast
0.14965123652504755,1.0,coast
0.14974619289340102,1.0,coast
0.14984126984126983,1.0,coast
0.14993646759847523,1.0,coast
0.15003178639542275,1.0,coast
0.15012722646310434,1.0,coast
0.15022278803309994,1.0,coast
0.1503184713375796,1.0,coast
0.15051020408163265,1.0,coast
0.15060625398851307,1.0,coast
0.15070242656449553,1.0,coast
0.15079872204472844,1.0,coast
0.15089514066496162,1.0,coast
0.1509916826615483,1.0,coast
0.15108834827144688,1.0,coast
0.15118513773222295,1.0,coast
0.15128205128205127,1.0,coast
0.15137908915971776,1.0,coast
0.1514762516046213,1.0,coast
0.15157353885677585,1.0,coast
0.15167095115681234,1.0,coast
0.1517684887459807,1.0,coast
0.15186615186615188,1.0,coast
0.1519639407598197,1.0,coast
0.15206185567010308,1.0,coast
0.1521598968407479,1.0,coast
0.15225806451612903,1.0,coast
0.15235635894125243,1.0,coast
0.1524547803617571,1.0,coast
0.15255332902391727,1.0,coast
0.15265200517464425,1.0,coast
0.15275080906148866,1.0,coast
0.15284974093264247,1.0,coast
0.15294880103694103,1.0,coast
0.15304798962386512,1.0,coast
0.15314730694354314,1.0,coast
0.15324675324675324,1.0,coast
0.15334632878492527,1.0,coast
0.15344603381014305,1.0,coast
0.15354586857514638,1.0,coast
0.15364583333333334,1.0,coast
0.15374592833876222,1.0,coast
0.15384615384615385,1.0,coast
0.15404699738903394,1.0,coast
0.1541476159372959,1.0,coast
0.1542483660130719,1.0,coast
0.15434924787442772,1.0,coast
0.1544502617801047,1.0,coast
0.15455140798952194,1.0,coast
0.15465268676277852,1.0,coast
0.15475409836065573,1.0,coast
0.15485564304461943,1.0,coast
0.15495732107682206,1.0,coast
0.15505913272010513,1.0,coast
0.15516107823800132,1.0,coast
0.15526315789473685,1.0,coast
0.155467720685112,1.0,coast
0.15557020435069216,1.0,coast
0.15567282321899736,1.0,coast
0.15577557755775578,1.0,coast
0.15587846763540292,1.0,coast
0.15598149372108394,1.0,coast
0.15608465608465608,1.0,coast
0.15618795499669094,1.0,coast
0.1562913907284768,1.0,coast
0.1563949635520212,1.0,coast
0.15649867374005305,1.0,coast
0.15660252156602522,1.0,coast
0.15670650730411687,1.0,coast
0.1568106312292359,1.0,coast
0.15691489361702127,1.0,coast
0.15701929474384566,1.0,coast
0.15722851432378415,1.0,coast
0.15733333333333333,1.0,coast
0.15743829219479652,1.0,coast
0.157543391188251,1.0,coast
0.1576486305945224,1.0,coast
0.15785953177257525,1.0,coast
0.15796519410977242,1.0,coast
0.1580709979906229,1.0,coast
0.1581769436997319,1.0,coast
0.15828303152246814,1.0,coast
0.15838926174496645,1.0,coast
0.1584956346541303,1.0,coast
0.1586021505376344,1.0,coast
0.15881561238223418,1.0,coast
0.1589225589225589,1.0,coast
0.15902964959568733,1.0,coast
0.15913688469318948,1.0,coast
0.1586765698852127,0.9957627118644068,coast
0.15878378378378377,0.9957627118644068,coast
0.15889114266396215,0.9957627118644068,coast
0.15899864682002707,0.9957627118644068,coast
0.15910629654705485,0.9957627118644068,coast
0.15921409214092141,0.9957627118644068,coast
0.15932203389830507,0.9957627118644068,coast
0.15943012211668928,0.9957627118644068,coast
0.15953835709436523,0.9957627118644068,coast
0.15964673913043478,0.9957627118644068,coast
0.15907545887151597,0.9915254237288136,coast
0.15918367346938775,0.9915254237288136,coast
0.1592920353982301,0.9915254237288136,coast
0.15940054495912806,0.9915254237288136,coast
0.15950920245398773,0.9915254237288136,coast
0.15961800818553887,0.9915254237288136,coast
0.1597269624573379,0.9915254237288136,coast
0.1598360655737705,0.9915254237288136,coast
0.1599453178400547,0.9915254237288136,coast
0.1600547195622435,0.9915254237288136,coast
0.1601642710472279,0.9915254237288136,coast
0.16027397260273973,0.9915254237288136,coast
0.16038382453735436,0.9915254237288136,coast
0.16049382716049382,0.9915254237288136,coast
0.16060398078242966,0.9915254237288136,coast
0.16071428571428573,0.9915254237288136,coast
0.16082474226804125,0.9915254237288136,coast
0.1609353507565337,0.9915254237288136,coast
0.1610461114934618,0.9915254237288136,coast
0.16115702479338842,0.9915254237288136,coast
0.16126809097174363,0.9915254237288136,coast
0.16137931034482758,0.9915254237288136,coast
0.16149068322981366,0.9915254237288136,coast
0.16160220994475138,0.9915254237288136,coast
0.16171389080856946,0.9915254237288136,coast
0.16182572614107885,0.9915254237288136,coast
0.1619377162629758,0.9915254237288136,coast
0.16204986149584488,0.9915254237288136,coast
0.16216216216216217,0.9915254237288136,coast
0.1622746185852982,0.9915254237288136,coast
0.16238723108952116,0.9915254237288136,coast
0.1625,0.9915254237288136,coast
0.1626129256428075,0.9915254237288136,coast
0.1620305980528512,0.9872881355932204,coast
0.16214335421016005,0.9872881355932204,coast
0.16225626740947074,0.9872881355932204,coast
0.16236933797909409,0.9872881355932204,coast
0.16248256624825663,0.9872881355932204,coast
0.162595952547104,0.9872881355932204,coast
0.1627094972067039,0.9872881355932204,coast
0.1628232005590496,0.9872881355932204,coast
0.16293706293706295,0.9872881355932204,coast
0.1630510846745976,0.9872881355932204,coast
0.16316526610644258,0.9872881355932204,coast
0.16327960756832516,0.9872881355932204,coast
0.16339410939691446,0.9872881355932204,coast
0.16350877192982455,0.9872881355932204,coast
0.16362359550561797,0.9872881355932204,coast
0.16373858046380885,0.9872881355932204,coast
0.16385372714486637,0.9872881355932204,coast
0.16396903589021816,0.9872881355932204,coast
0.16408450704225352,0.9872881355932204,coast
0.164200140944327,0.9872881355932204,coast
0.16431593794076163,0.9872881355932204,coast
0.16443189837685251,0.9872881355932204,coast
0.1638418079096045,0.9830508474576272,coast
0.16395759717314487,0.9830508474576272,coast
0.16407355021216408,0.9830508474576272,coast
0.16418966737438076,0.9830508474576272,coast
0.1643059490084986,0.9830508474576272,coast
0.16442239546420978,0.9830508474576272,coast
0.16453900709219857,0.9830508474576272,coast
0.16477272727272727,0.9830508474576272,coast
0.1648898365316276,0.9830508474576272,coast
0.16500711237553342,0.9830508474576272,coast
0.16512455516014235,0.9830508474576272,coast
0.16524216524216523,0.9830508474576272,coast
0.16535994297933002,0.9830508474576272,coast
0.1655960028551035,0.9830508474576272,coast
0.1657142857142857,0.9830508474576272,coast
0.1658327376697641,0.9830508474576272,coast
0.1659513590844063,0.9830508474576272,coast
0.16607015032211883,0.9830508474576272,coast
0.166189111747851,0.9830508474576272,coast
0.16630824372759856,0.9830508474576272,coast
0.16642754662840745,0.9830508474576272,coast
0.1665470208183776,0.9830508474576272,coast
0.16666666666666666,0.9830508474576272,coast
0.1667864845434939,0.9830508474576272,coast
0.1669064748201439,0.9830508474576272,coast
0.16702663786897048,0.9830508474576272,coast
0.16714697406340057,0.9830508474576272,coast
0.167267483777938,0.9830508474576272,coast
0.1673881673881674,0.9830508474576272,coast
0.16678700361010831,0.9788135593220338,coast
0.16690751445086704,0.9788135593220338,coast
0.16702819956616052,0.9788135593220338,coast
0.1671490593342981,0.9788135593220338,coast
0.16727009413468502,0.9788135593220338,coast
0.1673913043478261,0.9788135593220338,coast
0.16751269035532995,0.9788135593220338,coast
0.1676342525399129,0.9788135593220338,coast
0.16775599128540306,0.9788135593220338,coast
0.16787790697674418,0.9788135593220338,coast
0.168,0.9788135593220338,coast
0.16812227074235808,0.9788135593220338,coast
0.16824471959213402,0.9788135593220338,coast
0.1683673469387755,0.9788135593220338,coast
0.16849015317286653,0.9788135593220338,coast
0.1686131386861314,0.9788135593220338,coast
0.168736303871439,0.9788135593220338,coast
0.16885964912280702,0.9788135593220338,coast
0.168983174835406,0.9788135593220338,coast
0.16910688140556368,0.9788135593220338,coast
0.16923076923076924,0.9788135593220338,coast
0.1693548387096774,0.9788135593220338,coast
0.169479090242113,0.9788135593220338,coast
0.1696035242290749,0.9788135593220338,coast
0.16972814107274062,0.9788135593220338,coast
0.1698529411764706,0.9788135593220338,coast
0.16997792494481237,0.9788135593220338,coast
0.17010309278350516,0.9788135593220338,coast
0.17022844509948415,0.9788135593220338,coast
0.17035398230088494,0.9788135593220338,coast
0.17047970479704797,0.9788135593220338,coast
0.17073170731707318,0.9788135593220338,coast
