Epoch,Train_Loss,Val_Loss,Train_Precision,Val_Precision
1,2.0661960322166157,1.386536903287235,0.30836746635459333,0.4925373134328358
2,1.3561471192357697,1.138328525090688,0.507899356348742,0.5854063018242123
3,1.0924689997440187,1.1220874331499402,0.6161497952018724,0.5953565505804311
4,0.9869686908950316,0.8914315831896505,0.6530134581626682,0.6766169154228856
5,0.6183600655156318,0.5865631018226084,0.7922761849034523,0.7993366500829188
6,0.4577443085558643,0.7157512341050039,0.8408425980105325,0.7810945273631841
7,0.3899636143539971,0.6862063932257068,0.8654183733177296,0.7711442786069652
8,0.32723506686177595,0.8619680438546071,0.8894090111176126,0.7446102819237148
9,0.28488121905024644,0.6968194546276018,0.9016968987712113,0.7645107794361525
10,0.12105009293855656,0.6243712401992525,0.9619660620245758,0.8225538971807629
11,0.036860727090957016,0.8022267745629602,0.9894675248683441,0.814262023217247
12,0.036041847264964545,0.6745787381243741,0.9912229373902867,0.835820895522388
13,0.027278796466019987,0.9737963857171806,0.9877121123464014,0.8092868988391376
14,0.06738300631585394,1.1009059968571364,0.9742539496781744,0.8059701492537313
15,0.03219050424784349,0.8835921396780337,0.9877121123464014,0.8192371475953566
16,0.00825166877699286,0.860488880950135,0.9988297249853716,0.8325041459369817
17,0.0029953140446329777,0.893082413157524,0.9988297249853716,0.8374792703150912
18,0.002183708401512313,0.9561698880227859,1.0,0.8374792703150912
19,0.0009994761317915336,0.9762919836568283,1.0,0.845771144278607
20,0.0006188780408921031,1.0005266064056646,1.0,0.8374792703150912
21,0.000591059395368561,1.0011223366901343,1.0,0.8391376451077943
22,0.0003589517334210984,1.0233139362788573,1.0,0.8391376451077943
23,0.0003047317079561412,1.0409412045362558,1.0,0.8424543946932007
24,0.0006213690081066808,1.0641040507843271,1.0,0.8407960199004975
25,0.0003076116035633799,1.0734294552580699,1.0,0.8407960199004975
