False Positive Rate,True Positive Rate,Threshold
0.0,0.0,inf
0.0005317263381779511,0.016129032258064516,0.13757282
0.0010634526763559022,0.030397022332506202,0.13757243
0.0015951790145338532,0.05583126550868486,0.13561794
0.001683800070896845,0.08002481389578164,0.13547419
0.001683800070896845,0.08312655086848635,0.13546611
0.001683800070896845,0.08436724565756824,0.13516241
0.0018610421836228288,0.08622828784119106,0.13516202
0.0020382842963488127,0.08746898263027296,0.13347695
0.0021269053527118043,0.09491315136476426,0.13347273
0.0021269053527118043,0.09553349875930521,0.13346889
0.003013115916341723,0.10359801488833748,0.13345364
0.003101736972704715,0.1228287841191067,0.13338055
0.003101736972704715,0.12468982630272953,0.13337666
0.0034562211981566822,0.1774193548387097,0.13337608
0.0038107054236086496,0.17866004962779156,0.13336811
0.0038107054236086496,0.18176178660049627,0.1333681
0.003987947536334633,0.18362282878411912,0.13336104
0.004874158099964551,0.18362282878411912,0.13334379
0.0050514002126905355,0.18672456575682383,0.1332371
0.0051400212690535275,0.18734491315136476,0.13322592
0.0051400212690535275,0.1879652605459057,0.13322213
0.005228642325416519,0.19106699751861042,0.13309123
0.005405884438142503,0.19106699751861042,0.13308759
0.005405884438142503,0.19230769230769232,0.13258939
0.005405884438142503,0.1935483870967742,0.1325855
0.00620347394540943,0.2866004962779156,0.13258473
0.006292095001772421,0.2866004962779156,0.13258033
0.006380716058135413,0.28970223325062033,0.1325757
0.006557958170861397,0.29466501240694787,0.13257468
0.006557958170861397,0.3008684863523573,0.13231875
0.006823821339950372,0.31203473945409427,0.13231305
0.006823821339950372,0.326302729528536,0.13230836
0.007001063452676356,0.33436724565756826,0.13230832
0.007001063452676356,0.3424317617866005,0.13229445
0.0077986529599432825,0.36476426799007444,0.13229277
0.0077986529599432825,0.3709677419354839,0.13227394
0.008330379298121233,0.38275434243176176,0.1312835
0.008419000354484226,0.38275434243176176,0.13128325
0.011609358383551932,0.3883374689826303,0.13124774
0.0119638426090039,0.38957816377171217,0.13111511
0.012229705778092875,0.38957816377171217,0.13110575
0.012318326834455866,0.391439205955335,0.13102482
0.013027295285359801,0.3964019851116625,0.13102043
0.013293158454448777,0.3970223325062035,0.13101456
0.013736263736263736,0.3970223325062035,0.1310126
0.01488833746898263,0.3970223325062035,0.13099761
0.014976958525345621,0.3976426799007444,0.13098015
0.015508684863523574,0.39826302729528534,0.13097983
0.025522864232541652,0.4975186104218362,0.13096724
0.025700106345267634,0.4975186104218362,0.13083129
0.02596596951435661,0.4975186104218362,0.13082572
0.026674937965260544,0.5,0.13082248
0.026674937965260544,0.500620347394541,0.1308224
0.02729528535980149,0.5012406947890818,0.13082224
0.02871322226160936,0.5161290322580645,0.1308216
0.03252392768521801,0.5279156327543424,0.13082135
0.03881602268699043,0.6246898263027295,0.13081359
0.03890464374335342,0.6253101736972705,0.13069326
0.03899326479971641,0.6253101736972705,0.1304917
0.03917050691244239,0.6265508684863523,0.13048105
0.03917050691244239,0.6277915632754343,0.1304644
0.03943637008153137,0.6327543424317618,0.13045986
0.039524991137894365,0.6327543424317618,0.13045966
0.03979085430698334,0.641439205955335,0.13045641
0.0402339595887983,0.6426799007444168,0.13045573
0.0402339595887983,0.6445409429280397,0.13044435
0.0402339595887983,0.6451612903225806,0.13044122
0.0554767812832329,0.7078163771712159,0.13044107
0.055565402339595886,0.7078163771712159,0.1304333
0.05591988656504786,0.716501240694789,0.13043241
0.056008507621410845,0.717741935483871,0.13043162
0.05618574973413683,0.717741935483871,0.13042352
0.05618574973413683,0.7202233250620348,0.13040814
0.05618574973413683,0.7214640198511166,0.13040797
0.05618574973413683,0.7233250620347395,0.13013088
0.05636299184686282,0.7245657568238213,0.13012204
0.05636299184686282,0.7264267990074442,0.13012143
0.05662885501595179,0.7276674937965261,0.13010186
0.05786954980503368,0.7332506203473945,0.13010104
0.057958170861396666,0.7332506203473945,0.12922693
0.05804679191775966,0.7338709677419355,0.12911437
0.05848989719957462,0.7363523573200993,0.12909922
0.05902162353775257,0.7363523573200993,0.12909478
0.05937610776320454,0.7363523573200993,0.12908655
0.06026231832683446,0.7363523573200993,0.12907774
0.06043956043956044,0.7363523573200993,0.12896456
0.06105990783410138,0.7363523573200993,0.12896396
0.061148528890464376,0.7363523573200993,0.12896024
0.06398440269408011,0.739454094292804,0.12895949
0.06433888691953209,0.739454094292804,0.12895869
0.06442750797589507,0.739454094292804,0.1289556
0.06451612903225806,0.7400744416873449,0.12895453
0.06478199220134705,0.7400744416873449,0.12895416
0.06487061325771003,0.7413151364764268,0.12895358
0.065225097483162,0.7413151364764268,0.12894733
0.06531371853952499,0.7413151364764268,0.12894049
0.06549096065225098,0.7413151364764268,0.12893718
0.06557958170861397,0.7413151364764268,0.12893569
0.06673165544133286,0.7425558312655087,0.1289336
0.06876993973768167,0.7425558312655087,0.1289238
0.06939028713222262,0.7431761786600496,0.12875685
0.06947890818858561,0.7431761786600496,0.12875239
0.07098546614675647,0.7437965260545906,0.12874853
0.07116270825948245,0.7437965260545906,0.12873975
0.07116270825948245,0.7444168734491315,0.12870652
0.07178305565402339,0.7630272952853598,0.12870398
0.07187167671038638,0.7630272952853598,0.12870266
0.07213753987947537,0.7779156327543424,0.12870223
0.07213753987947537,0.7785359801488834,0.12870215
0.07222616093583835,0.7785359801488834,0.1287001
0.0727578872740163,0.782258064516129,0.12869767
0.0727578872740163,0.78287841191067,0.12869326
0.0728465083303793,0.7841191066997518,0.12869178
0.07293512938674229,0.7841191066997518,0.12869027
0.07311237149946827,0.7866004962779156,0.12868989
