extractor,classifier,accuracy,AUC
VGG,XGB1,0.7695167286245354,0.9527892886262727
VGG,XGB2,0.7843866171003717,0.9576379936311391
VGG,ADABOOST1,0.6189591078066915,0.923764922699086
VGG,ADABOOST2,0.6784386617100372,0.9442801173481374
