False Positive Rate,True Positive Rate,Threshold,Class
0.0,0.0,inf,coast
0.0007267441860465116,0.0,0.13082382,coast
0.0014534883720930232,0.0,0.13082261,coast
0.0029069767441860465,0.0,0.13082028,coast
0.003633720930232558,0.00847457627118644,0.13081955,coast
0.003633720930232558,0.012711864406779662,0.13081899,coast
0.007994186046511628,0.029661016949152543,0.13081861,coast
0.00872093023255814,0.029661016949152543,0.13081765,coast
0.012354651162790697,0.1271186440677966,0.13081619,coast
0.029796511627906978,0.19491525423728814,0.1308136,coast
0.03488372093023256,0.24152542372881355,0.13081231,coast
0.05159883720930233,0.7754237288135594,0.13080916,coast
0.05377906976744186,0.7754237288135594,0.12981647,coast
0.055232558139534885,0.7754237288135594,0.12981446,coast
0.0559593023255814,0.7754237288135594,0.12981363,coast
0.059593023255813955,0.7796610169491526,0.12981316,coast
0.061046511627906974,0.7796610169491526,0.12981228,coast
0.0690406976744186,0.809322033898305,0.12981166,coast
0.07122093023255814,0.8135593220338984,0.12980972,coast
0.07194767441860465,0.8389830508474576,0.12980303,coast
0.07267441860465117,0.8389830508474576,0.1288358,coast
0.07412790697674419,0.8389830508474576,0.12883541,coast
0.0755813953488372,0.8389830508474576,0.12883149,coast
0.0755813953488372,0.8432203389830508,0.12883145,coast
0.07776162790697674,0.8432203389830508,0.12883118,coast
0.07921511627906977,0.8432203389830508,0.12882907,coast
0.08357558139534883,0.8432203389830508,0.12881415,coast
0.08575581395348837,0.8432203389830508,0.12881357,coast
0.09375,0.8432203389830508,0.12881319,coast
0.09520348837209303,0.8432203389830508,0.1288104,coast
0.09883720930232558,0.8432203389830508,0.12880769,coast
0.09956395348837209,0.8432203389830508,0.12880561,coast
0.10174418604651163,0.847457627118644,0.12880537,coast
0.11046511627906977,0.847457627118644,0.12880487,coast
0.11119186046511628,0.8516949152542372,0.12879904,coast
0.12936046511627908,0.8728813559322034,0.12879503,coast
0.13372093023255813,0.8771186440677966,0.12871484,coast
0.13444767441860464,0.8771186440677966,0.12871393,coast
0.13590116279069767,0.8771186440677966,0.12871221,coast
0.14607558139534885,0.8813559322033898,0.12871148,coast
0.14752906976744187,0.8813559322033898,0.12784051,coast
0.14970930232558138,0.8813559322033898,0.12782164,coast
0.15261627906976744,0.8813559322033898,0.12781284,coast
0.15479651162790697,0.8813559322033898,0.12760694,coast
0.1569767441860465,0.8813559322033898,0.12760348,coast
0.15770348837209303,0.8813559322033898,0.12759204,coast
0.16424418604651161,0.8813559322033898,0.12759132,coast
0.16569767441860464,0.8813559322033898,0.12758824,coast
0.16642441860465115,0.8813559322033898,0.12758688,coast
0.25799418604651164,0.885593220338983,0.12758605,coast
0.26526162790697677,0.885593220338983,0.12757891,coast
0.26526162790697677,0.8898305084745762,0.12750996,coast
0.26598837209302323,0.8898305084745762,0.12750868,coast
0.26598837209302323,0.8940677966101694,0.12750736,coast
0.26671511627906974,0.8983050847457628,0.12750617,coast
0.2703488372093023,0.8983050847457628,0.12750526,coast
0.2703488372093023,0.9110169491525424,0.12750392,coast
0.2754360465116279,0.9152542372881356,0.12750161,coast
0.2761627906976744,0.9152542372881356,0.12750153,coast
0.28343023255813954,0.9152542372881356,0.12750136,coast
0.28488372093023256,0.9152542372881356,0.12750079,coast
0.28488372093023256,0.923728813559322,0.12750006,coast
0.2856104651162791,0.923728813559322,0.12749811,coast
0.2870639534883721,0.923728813559322,0.12749793,coast
0.2914244186046512,0.923728813559322,0.12749692,coast
0.2936046511627907,0.923728813559322,0.1267306,coast
0.29723837209302323,0.923728813559322,0.12660443,coast
0.29796511627906974,0.923728813559322,0.12652987,coast
0.29796511627906974,0.9279661016949152,0.1265277,coast
0.3001453488372093,0.9279661016949152,0.12652392,coast
0.3015988372093023,0.9279661016949152,0.12562552,coast
0.30886627906976744,0.9279661016949152,0.12562117,coast
0.31613372093023256,0.9279661016949152,0.12554562,coast
0.3175872093023256,0.9279661016949152,0.12554444,coast
0.31976744186046513,0.9279661016949152,0.12554371,coast
0.32122093023255816,0.9279661016949152,0.12554161,coast
0.3241279069767442,0.9279661016949152,0.12553925,coast
0.33066860465116277,0.9279661016949152,0.12553906,coast
0.3321220930232558,0.9279661016949152,0.12553752,coast
