False Positive Rate,True Positive Rate,Threshold,Class
0.0,0.0,inf,coast
0.010901162790697675,0.2288135593220339,0.14009134,coast
0.014534883720930232,0.2627118644067797,0.13763912,coast
0.01744186046511628,0.3135593220338983,0.13763191,coast
0.029796511627906978,0.3474576271186441,0.1354855,coast
0.03561046511627907,0.3813559322033898,0.13310678,coast
0.042877906976744186,0.4279661016949153,0.13310298,coast
0.055232558139534885,0.4576271186440678,0.13304522,coast
0.10319767441860465,0.5466101694915254,0.13088461,coast
0.10610465116279069,0.5677966101694916,0.13070838,coast
0.10973837209302326,0.576271186440678,0.13070831,coast
0.2180232558139535,0.6949152542372882,0.12893042,coast
0.23328488372093023,0.7330508474576272,0.12858076,coast
0.25290697674418605,0.7754237288135594,0.12858069,coast
0.27180232558139533,0.809322033898305,0.12665656,coast
0.33502906976744184,0.847457627118644,0.1266565,coast
0.3379360465116279,0.847457627118644,0.12478956,coast
0.3393895348837209,0.847457627118644,0.12478594,coast
0.34011627906976744,0.847457627118644,0.1247854,coast
0.3444767441860465,0.847457627118644,0.12477485,coast
0.3481104651162791,0.847457627118644,0.12477069,coast
0.3495639534883721,0.847457627118644,0.12246203,coast
0.36046511627906974,0.8601694915254238,0.12245978,coast
0.36191860465116277,0.8601694915254238,0.122459,coast
0.36555232558139533,0.8601694915254238,0.12245888,coast
0.36700581395348836,0.8601694915254238,0.12245872,coast
0.3757267441860465,0.8728813559322034,0.1224587,coast
0.376453488372093,0.8728813559322034,0.12245823,coast
0.376453488372093,0.8771186440677966,0.12245786,coast
0.37718023255813954,0.8771186440677966,0.12245765,coast
0.38299418604651164,0.8771186440677966,0.12245592,coast
0.38372093023255816,0.8771186440677966,0.12245586,coast
0.3851744186046512,0.8771186440677966,0.12245552,coast
0.3859011627906977,0.8771186440677966,0.12245523,coast
0.3859011627906977,0.8813559322033898,0.12245507,coast
0.3866279069767442,0.8813559322033898,0.12245497,coast
0.38880813953488375,0.8898305084745762,0.12245454,coast
0.3960755813953488,0.8898305084745762,0.12245445,coast
0.39752906976744184,0.8898305084745762,0.12245439,coast
0.40406976744186046,0.8898305084745762,0.12245436,coast
0.407703488372093,0.8898305084745762,0.12245428,coast
0.4171511627906977,0.8898305084745762,0.12245351,coast
0.4178779069767442,0.8898305084745762,0.12245342,coast
0.4309593023255814,0.8983050847457628,0.12245327,coast
0.4316860465116279,0.8983050847457628,0.12245282,coast
0.44622093023255816,0.8983050847457628,0.12245243,coast
0.4636627906976744,0.902542372881356,0.12245219,coast
0.46584302325581395,0.902542372881356,0.12245207,coast
0.46656976744186046,0.9067796610169492,0.12245198,coast
0.47093023255813954,0.9067796610169492,0.12245138,coast
0.4796511627906977,0.9067796610169492,0.12245111,coast
0.48183139534883723,0.9067796610169492,0.12245096,coast
0.48619186046511625,0.9067796610169492,0.1224509,coast
0.4883720930232558,0.9067796610169492,0.12245038,coast
0.4898255813953488,0.9067796610169492,0.12245011,coast
0.4934593023255814,0.9110169491525424,0.1224497,coast
0.4941860465116279,0.9110169491525424,0.12244962,coast
0.49636627906976744,0.9110169491525424,0.12244945,coast
0.49781976744186046,0.9110169491525424,0.12244925,coast
0.5007267441860465,0.9110169491525424,0.12244912,coast
0.5072674418604651,0.9110169491525424,0.1224488,coast
0.5181686046511628,0.9194915254237288,0.12244835,coast
0.5210755813953488,0.9194915254237288,0.12244804,coast
0.5319767441860465,0.923728813559322,0.12244801,coast
0.532703488372093,0.923728813559322,0.12244749,coast
0.5385174418604651,0.9279661016949152,0.12244734,coast
0.5428779069767442,0.9279661016949152,0.12244662,coast
0.5472383720930233,0.9279661016949152,0.12244656,coast
0.5508720930232558,0.9279661016949152,0.12244626,coast
0.5515988372093024,0.9364406779661016,0.12244487,coast
0.5530523255813954,0.9364406779661016,0.12244425,coast
0.5552325581395349,0.9364406779661016,0.1224439,coast
0.559593023255814,0.9449152542372882,0.1224434,coast
0.5625,0.9449152542372882,0.12244319,coast
0.5813953488372093,0.9533898305084746,0.12244304,coast
0.5893895348837209,0.9533898305084746,0.12244297,coast
0.5930232558139535,0.9576271186440678,0.12244187,coast
0.6082848837209303,0.961864406779661,0.12244184,coast
0.6104651162790697,0.961864406779661,0.12244176,coast
0.623546511627907,0.961864406779661,0.12244109,coast
0.6242732558139535,0.961864406779661,0.1224406,coast
0.6271802325581395,0.961864406779661,0.12244034,coast
0.627906976744186,0.961864406779661,0.12244006,coast
0.6315406976744186,0.9661016949152542,0.12244002,coast
0.6402616279069767,0.9703389830508474,0.12243994,coast
0.6431686046511628,0.9703389830508474,0.12243926,coast
0.6468023255813954,0.9703389830508474,0.12243923,coast
0.6489825581395349,0.9703389830508474,0.12243911,coast
0.6518895348837209,0.9703389830508474,0.12243854,coast
0.6555232558139535,0.9703389830508474,0.12243849,coast
0.6635174418604651,0.9703389830508474,0.12243817,coast
0.6656976744186046,0.9703389830508474,0.12243788,coast
0.6664244186046512,0.9703389830508474,0.12243748,coast
0.6678779069767442,0.9703389830508474,0.12243742,coast
0.6787790697674418,0.9703389830508474,0.1224356,coast
0.6802325581395349,0.9703389830508474,0.12243525,coast
0.6809593023255814,0.9703389830508474,0.12243481,coast
0.6867732558139535,0.9703389830508474,0.12243452,coast
0.6875,0.9703389830508474,0.12243321,coast
0.6896802325581395,0.9703389830508474,0.12243318,coast
0.690406976744186,0.9703389830508474,0.12243274,coast
0.6933139534883721,0.9703389830508474,0.12243236,coast
0.6962209302325582,0.9703389830508474,0.12243117,coast
0.7005813953488372,0.9703389830508474,0.12243115,coast
0.717296511627907,0.9745762711864406,0.12243099,coast
0.7180232558139535,0.9745762711864406,0.12243092,coast
0.7194767441860465,0.9745762711864406,0.12243091,coast
0.720203488372093,0.9745762711864406,0.12243087,coast
0.721656976744186,0.9745762711864406,0.12243083,coast
0.7318313953488372,0.9745762711864406,0.12243074,coast
0.7340116279069767,0.9745762711864406,0.12243056,coast
0.7405523255813954,0.9745762711864406,0.1224303,coast
0.7456395348837209,0.9788135593220338,0.12243029,coast
0.748546511627907,0.9788135593220338,0.12243025,coast
0.7601744186046512,0.9830508474576272,0.12243017,coast
0.7609011627906976,0.9830508474576272,0.12242999,coast
0.7630813953488372,0.9830508474576272,0.12242851,coast
0.7638081395348837,0.9830508474576272,0.12242821,coast
0.7652616279069767,0.9830508474576272,0.12242818,coast
0.7681686046511628,0.9830508474576272,0.12242807,coast
0.7703488372093024,0.9830508474576272,0.12242761,coast
0.7732558139534884,0.9830508474576272,0.12242729,coast
0.7739825581395349,0.9830508474576272,0.12242718,coast
0.7819767441860465,0.9872881355932204,0.12242682,coast
0.7856104651162791,0.9872881355932204,0.12242674,coast
0.7899709302325582,0.9872881355932204,0.12242672,coast
0.7986918604651163,0.9915254237288136,0.12242666,coast
0.8008720930232558,0.9915254237288136,0.12242663,coast
0.8023255813953488,0.9957627118644068,0.12242656,coast
0.8052325581395349,0.9957627118644068,0.12242654,coast
0.8059593023255814,0.9957627118644068,0.12242652,coast
0.8081395348837209,0.9957627118644068,0.12242542,coast
0.8364825581395349,0.9957627118644068,0.12242527,coast
0.8372093023255814,0.9957627118644068,0.12242521,coast
0.8415697674418605,0.9957627118644068,0.12242445,coast
0.84375,0.9957627118644068,0.12242382,coast
0.8459302325581395,0.9957627118644068,0.12242375,coast
0.8510174418604651,0.9957627118644068,0.12242312,coast
0.8575581395348837,0.9957627118644068,0.12242307,coast
0.8597383720930233,0.9957627118644068,0.12242271,coast
0.8691860465116279,0.9957627118644068,0.12242249,coast
0.873546511627907,0.9957627118644068,0.12242244,coast
0.8757267441860465,0.9957627118644068,0.12242235,coast
0.8851744186046512,0.9957627118644068,0.12242173,coast
0.8917151162790697,0.9957627118644068,0.12242125,coast
0.8931686046511628,0.9957627118644068,0.12242109,coast
0.8946220930232558,0.9957627118644068,0.12241562,coast
0.8975290697674418,0.9957627118644068,0.12241551,coast
0.9120639534883721,0.9957627118644068,0.12241548,coast
0.9171511627906976,0.9957627118644068,0.12241518,coast
0.9215116279069767,0.9957627118644068,0.12241501,coast
0.9316860465116279,0.9957627118644068,0.12241495,coast
0.9375,0.9957627118644068,0.12241493,coast
0.9418604651162791,0.9957627118644068,0.12241488,coast
0.9447674418604651,0.9957627118644068,0.12241446,coast
0.9505813953488372,0.9957627118644068,0.12241413,coast
0.9534883720930233,0.9957627118644068,0.12241203,coast
0.9556686046511628,0.9957627118644068,0.12241095,coast
0.965843023255814,0.9957627118644068,0.12241076,coast
0.970203488372093,0.9957627118644068,0.12241063,coast
0.9869186046511628,1.0,0.12240574,coast
1.0,1.0,0.12240529,coast
0.0,0.0,inf,forest
0.0,0.004830917874396135,0.13484714,forest
0.0014234875444839859,0.024154589371980676,0.13484647,forest
0.00498220640569395,0.06763285024154589,0.13484641,forest
0.006405693950177936,0.0966183574879227,0.13484638,forest
0.008540925266903915,0.12077294685990338,0.1348455,forest
0.014234875444839857,0.1497584541062802,0.13484178,forest
0.01708185053380783,0.15942028985507245,0.13484164,forest
0.023487544483985764,0.2318840579710145,0.13483626,forest
0.030604982206405694,0.2463768115942029,0.13282487,forest
0.03131672597864769,0.2463768115942029,0.13282479,forest
0.036298932384341634,0.2560386473429952,0.13282412,forest
0.0398576512455516,0.27053140096618356,0.13282411,forest
0.04199288256227758,0.2753623188405797,0.13282406,forest
0.050533807829181494,0.2995169082125604,0.13282397,forest
0.05124555160142349,0.3140096618357488,0.1328217,forest
0.05551601423487545,0.34782608695652173,0.13282017,forest
0.05765124555160142,0.34782608695652173,0.13282006,forest
0.07188612099644127,0.4396135265700483,0.13281866,forest
0.07615658362989323,0.45410628019323673,0.13281627,forest
0.08327402135231317,0.46859903381642515,0.13281564,forest
0.08754448398576513,0.46859903381642515,0.13281559,forest
0.09395017793594305,0.48792270531400966,0.13281482,forest
0.09750889679715302,0.4975845410628019,0.13280771,forest
0.09893238434163701,0.4975845410628019,0.13266061,forest
0.09893238434163701,0.5024154589371981,0.13266055,forest
0.100355871886121,0.5217391304347826,0.13266053,forest
0.10249110320284698,0.5265700483091788,0.13265635,forest
0.10320284697508897,0.5265700483091788,0.13265623,forest
0.10391459074733096,0.5410628019323671,0.13265554,forest
0.10462633451957296,0.5507246376811594,0.13265252,forest
0.10747330960854093,0.5652173913043478,0.13265183,forest
0.10889679715302492,0.5700483091787439,0.13265139,forest
0.11174377224199289,0.5700483091787439,0.13264358,forest
0.11245551601423487,0.5700483091787439,0.13237712,forest
0.11245551601423487,0.5748792270531401,0.13236799,forest
0.11316725978647686,0.5748792270531401,0.13236777,forest
0.11316725978647686,0.5797101449275363,0.13235898,forest
0.11459074733096085,0.5893719806763285,0.1306675,forest
0.11601423487544484,0.5893719806763285,0.13066402,forest
0.11886120996441281,0.5942028985507246,0.13066327,forest
0.1202846975088968,0.5942028985507246,0.13066254,forest
0.12313167259786477,0.5990338164251208,0.13066248,forest
0.1302491103202847,0.6038647342995169,0.13066214,forest
0.13238434163701068,0.6038647342995169,0.13065681,forest
0.13950177935943062,0.6086956521739131,0.13065448,forest
0.1409252669039146,0.6086956521739131,0.13065431,forest
0.1494661921708185,0.6183574879227053,0.13065421,forest
0.15088967971530248,0.6183574879227053,0.13065148,forest
0.15871886120996442,0.6231884057971014,0.13065002,forest
0.16298932384341638,0.6231884057971014,0.13064992,forest
0.17651245551601424,0.6280193236714976,0.13063793,forest
0.17793594306049823,0.6280193236714976,0.13038778,forest
0.17793594306049823,0.6328502415458938,0.1303839,forest
0.17935943060498222,0.6328502415458938,0.13037602,forest
