,coast,forest,highway,insidecity,mountain,opencountry,street,tallbuilding
coast,160,5,13,6,17,19,1,15
forest,3,123,1,10,23,10,17,20
highway,28,0,68,4,7,13,12,11
insidecity,7,38,8,75,16,13,12,16
mountain,22,32,12,15,93,15,23,12
opencountry,35,10,21,14,25,69,29,20
street,0,29,0,7,24,13,89,10
tallbuilding,40,15,9,13,32,28,17,68
