False Positive Rate,True Positive Rate,Threshold,Class
0.0,0.0,inf,coast
0.0,0.01694915254237288,0.23416571,coast
0.0,0.03389830508474576,0.23399086,coast
0.006540697674418605,0.2669491525423729,0.23216172,coast
0.007267441860465116,0.3474576271186441,0.23198985,coast
0.00872093023255814,0.3728813559322034,0.2313334,coast
0.00872093023255814,0.3771186440677966,0.2308809,coast
0.012354651162790697,0.4322033898305085,0.22937739,coast
0.01308139534883721,0.461864406779661,0.22920962,coast
0.014534883720930232,0.461864406779661,0.22859554,coast
0.014534883720930232,0.4661016949152542,0.22686508,coast
0.015988372093023256,0.4661016949152542,0.22578685,coast
0.016715116279069766,0.4957627118644068,0.22498362,coast
0.016715116279069766,0.5,0.22420563,coast
0.0188953488372093,0.5,0.22392312,coast
0.0188953488372093,0.5042372881355932,0.22376323,coast
0.0188953488372093,0.5169491525423728,0.22237892,coast
0.0188953488372093,0.5254237288135594,0.2222103,coast
0.0188953488372093,0.5423728813559322,0.21660401,coast
0.0188953488372093,0.5466101694915254,0.21571714,coast
0.019622093023255814,0.5508474576271186,0.21555218,coast
0.019622093023255814,0.5889830508474576,0.21488824,coast
0.019622093023255814,0.5932203389830508,0.21434842,coast
0.020348837209302327,0.597457627118644,0.2130459,coast
0.020348837209302327,0.6101694915254238,0.21288502,coast
0.021075581395348836,0.6101694915254238,0.21226054,coast
0.021075581395348836,0.614406779661017,0.21209754,coast
0.02180232558139535,0.6228813559322034,0.20962065,coast
0.02252906976744186,0.6228813559322034,0.20781927,coast
0.02252906976744186,0.6313559322033898,0.20599629,coast
0.02252906976744186,0.6440677966101694,0.20583442,coast
0.023255813953488372,0.6440677966101694,0.20431253,coast
0.023255813953488372,0.6567796610169492,0.20354298,coast
0.023255813953488372,0.673728813559322,0.19991462,coast
0.023255813953488372,0.6779661016949152,0.1997587,coast
0.023982558139534885,0.6779661016949152,0.19931214,coast
0.025436046511627907,0.6822033898305084,0.1991792,coast
0.02688953488372093,0.690677966101695,0.19738983,coast
0.02688953488372093,0.7033898305084746,0.1972378,coast
0.028343023255813952,0.7033898305084746,0.19705941,coast
0.029069767441860465,0.711864406779661,0.19689967,coast
0.029069767441860465,0.7161016949152542,0.1959214,coast
0.030523255813953487,0.7161016949152542,0.19245335,coast
0.030523255813953487,0.7203389830508474,0.19230883,coast
0.032703488372093026,0.7203389830508474,0.18620288,coast
0.032703488372093026,0.7245762711864406,0.18607004,coast
0.034156976744186045,0.7245762711864406,0.18357334,coast
0.03561046511627907,0.7245762711864406,0.18328951,coast
0.036337209302325583,0.7245762711864406,0.18215549,coast
0.036337209302325583,0.7288135593220338,0.18150324,coast
0.038517441860465115,0.7330508474576272,0.18126081,coast
0.038517441860465115,0.7372881355932204,0.18116495,coast
0.03997093023255814,0.7372881355932204,0.17420952,coast
0.04142441860465116,0.7372881355932204,0.17337544,coast
0.04215116279069767,0.7372881355932204,0.17332177,coast
0.04433139534883721,0.7372881355932204,0.17269573,coast
0.046511627906976744,0.7372881355932204,0.17143305,coast
0.046511627906976744,0.7415254237288136,0.17034386,coast
0.04941860465116279,0.7415254237288136,0.16421153,coast
0.04941860465116279,0.7457627118644068,0.16407521,coast
0.04941860465116279,0.7542372881355932,0.16371816,coast
0.050872093023255814,0.7584745762711864,0.16363543,coast
0.050872093023255814,0.7669491525423728,0.16358265,coast
0.05232558139534884,0.7711864406779662,0.16352135,coast
0.053052325581395346,0.7711864406779662,0.16278021,coast
0.053052325581395346,0.7796610169491526,0.16192673,coast
0.056686046511627904,0.8008474576271186,0.16152585,coast
0.056686046511627904,0.8135593220338984,0.16139394,coast
0.057412790697674417,0.8135593220338984,0.16106676,coast
0.059593023255813955,0.8135593220338984,0.15982711,coast
0.06031976744186047,0.8135593220338984,0.15878263,coast
0.06031976744186047,0.8220338983050848,0.15762909,coast
0.06177325581395349,0.826271186440678,0.15724917,coast
0.0625,0.826271186440678,0.1571593,coast
0.0625,0.8305084745762712,0.15653196,coast
0.06322674418604651,0.8305084745762712,0.15604378,coast
0.06395348837209303,0.8347457627118644,0.15603402,coast
0.06468023255813954,0.8347457627118644,0.15457827,coast
0.06468023255813954,0.8389830508474576,0.15418085,coast
0.0690406976744186,0.8389830508474576,0.15065713,coast
0.07049418604651163,0.8389830508474576,0.150632,coast
0.07122093023255814,0.8432203389830508,0.15021674,coast
0.07194767441860465,0.8432203389830508,0.1500233,coast
0.07340116279069768,0.8432203389830508,0.14975466,coast
0.07340116279069768,0.8516949152542372,0.14961137,coast
0.07485465116279069,0.8516949152542372,0.14881922,coast
0.07703488372093023,0.8516949152542372,0.14864929,coast
0.07776162790697674,0.8516949152542372,0.14853758,coast
0.07776162790697674,0.8559322033898306,0.14849843,coast
0.07848837209302326,0.8686440677966102,0.14836906,coast
0.07921511627906977,0.8686440677966102,0.14796282,coast
0.07921511627906977,0.8728813559322034,0.14777848,coast
0.07994186046511628,0.8728813559322034,0.14753444,coast
0.07994186046511628,0.8771186440677966,0.14751782,coast
0.0806686046511628,0.8771186440677966,0.14669251,coast
0.09811046511627906,0.8898305084745762,0.14578411,coast
0.10319767441860465,0.8940677966101694,0.14567667,coast
0.10465116279069768,0.8940677966101694,0.14525682,coast
0.10610465116279069,0.8940677966101694,0.1443662,coast
0.10755813953488372,0.8940677966101694,0.1436495,coast
0.11046511627906977,0.8940677966101694,0.14162391,coast
0.1119186046511628,0.8940677966101694,0.14155495,coast
0.1119186046511628,0.8983050847457628,0.14137939,coast
0.11555232558139535,0.8983050847457628,0.14126132,coast
